period,gameClock,wallClock,team,playerName,playerNumber,distanceFromBall,changeInDistanceFromBall
1,0:00:15,1599957500650,Atlanta,Matheus Rossetto,9,3.546110545,0.031498191
1,0:00:15,1599957500650,Atlanta,E. Barco,8,4.384928734,0.072620767
1,0:00:15,1599957500690,Atlanta,Matheus Rossetto,9,3.117081969,0.014808609
1,0:00:15,1599957500730,Atlanta,Matheus Rossetto,9,2.817605366,0.02214476
1,0:00:16,1599957500770,Atlanta,Matheus Rossetto,9,2.408754865,0.003552171
1,0:00:17,1599957502290,Atlanta,A. Walkes,4,2.140327078,0.238485865
1,0:00:17,1599957502330,Atlanta,A. Walkes,4,1.732166274,0.242703283
1,0:00:17,1599957502370,Atlanta,A. Walkes,4,1.38798415,0.224369093
1,0:00:17,1599957502410,Atlanta,A. Walkes,4,1.015332458,0.248390478
1,0:00:17,1599957502450,Atlanta,A. Walkes,4,0.827647268,0.238919827
1,0:00:17,1599957502490,Atlanta,A. Walkes,4,0.713442359,0.198660852
1,0:00:17,1599957502530,Atlanta,A. Walkes,4,0.714702735,0.112539967
1,0:00:17,1599957502570,Atlanta,A. Walkes,4,1.239072234,0.040990433
1,0:00:17,1599957502610,Atlanta,A. Walkes,4,1.422743828,0.024852559
1,0:00:19,1599957503890,Atlanta,M. Robinson,12,4.531412583,0.18388455
1,0:00:19,1599957503930,Atlanta,M. Robinson,12,4.375671377,0.174600085
1,0:00:19,1599957503970,Atlanta,M. Robinson,12,4.250599958,0.186710195
1,0:00:19,1599957504010,Atlanta,M. Robinson,12,4.098255727,0.17779657
1,0:00:19,1599957504050,Atlanta,M. Robinson,12,3.97407851,0.178818308
1,0:00:19,1599957504090,Atlanta,M. Robinson,12,3.83377099,0.17884281
1,0:00:19,1599957504130,Atlanta,M. Robinson,12,3.711940193,0.171629473
1,0:00:19,1599957504170,Atlanta,M. Robinson,12,3.590891254,0.181712468
1,0:00:19,1599957504210,Atlanta,M. Robinson,12,3.470360212,0.173664897
1,0:00:19,1599957504250,Atlanta,M. Robinson,12,3.370133529,0.167072493
1,0:00:19,1599957504290,Atlanta,M. Robinson,12,3.221257518,0.169290939
1,0:00:19,1599957504330,Atlanta,M. Robinson,12,3.120144227,0.163372339
1,0:00:19,1599957504370,Atlanta,M. Robinson,12,3.000016667,0.154933188
1,0:00:19,1599957504410,Atlanta,M. Robinson,12,2.910068728,0.154819193
1,0:00:19,1599957504450,Atlanta,M. Robinson,12,2.810284683,0.156589147
1,0:00:19,1599957504490,Atlanta,M. Robinson,12,2.710166047,0.15515137
1,0:00:19,1599957504530,Atlanta,M. Robinson,12,2.610478883,0.146498364
1,0:00:19,1599957504570,Atlanta,M. Robinson,12,2.520178565,0.134806477
1,0:00:19,1599957504610,Atlanta,M. Robinson,12,2.450326509,0.144768008
1,0:00:19,1599957504650,Atlanta,M. Robinson,12,2.36,0.121920466
1,0:00:19,1599957504690,Atlanta,M. Robinson,12,2.290087335,0.132565608
1,0:00:19,1599957504730,Atlanta,M. Robinson,12,2.210022624,0.118420368
1,0:00:20,1599957504770,Atlanta,M. Robinson,12,2.150023256,0.109190092
1,0:00:20,1599957504810,Atlanta,M. Robinson,12,2.090598001,0.104798414
1,0:00:20,1599957504850,Atlanta,M. Robinson,12,2.031206538,0.100792075
1,0:00:20,1599957504890,Atlanta,M. Robinson,12,1.972536438,0.088498222
1,0:00:20,1599957504930,Atlanta,M. Robinson,12,1.917550521,0.070119873
1,0:00:20,1599957504970,Atlanta,M. Robinson,12,1.860026882,0.088699695
1,0:00:20,1599957505010,Atlanta,M. Robinson,12,1.77138364,0.086361385
1,0:00:20,1599957505050,Atlanta,M. Robinson,12,1.694992625,0.093462107
1,0:00:20,1599957505090,Atlanta,M. Robinson,12,1.617899873,0.097603849
1,0:00:20,1599957505130,Atlanta,M. Robinson,12,1.551289786,0.097123358
1,0:00:20,1599957505170,Atlanta,M. Robinson,12,1.513803158,0.110877643
1,0:00:20,1599957505210,Atlanta,M. Robinson,12,1.480607983,0.117193153
1,0:00:20,1599957505250,Atlanta,M. Robinson,12,1.439235908,0.124511603
1,0:00:20,1599957505290,Atlanta,M. Robinson,12,1.494121816,0.123537998
1,0:00:20,1599957505330,Atlanta,M. Robinson,12,1.45361618,0.13448768
1,0:00:55,1599957539850,Atlanta,J. Larentowicz,18,3.104738314,0.041341507
1,0:00:55,1599957539850,Atlanta,B. Lennon,11,2.070869383,0.138772077
1,0:00:55,1599957539890,Atlanta,J. Larentowicz,18,2.823632412,0.035909327
1,0:00:55,1599957539890,Atlanta,B. Lennon,11,1.54870914,0.134601648
1,0:00:55,1599957539930,Atlanta,J. Larentowicz,18,2.582576233,0.021443671
1,0:00:55,1599957539930,Atlanta,B. Lennon,11,1.05848949,0.114826414
1,0:00:55,1599957539970,Atlanta,A. Jahn,14,4.40596187,0.138304433
1,0:00:55,1599957539970,Atlanta,J. Larentowicz,18,2.424046204,0.027715676
1,0:00:55,1599957539970,Atlanta,B. Lennon,11,0.72201108,0.055602797
1,0:00:56,1599957540770,Atlanta,B. Guzan,1,2.059951456,0.121653233
1,0:00:56,1599957540770,Atlanta,G. Bello,21,4.426511041,0.041479685
1,0:00:56,1599957540770,Atlanta,A. Walkes,4,1.858009688,0.137980618
